word	nodeType	unit
old	ADJ	grimm
deep	ADJ	grimm
gloomy	ADJ	grimm
old	ADJ	grimm
old	ADJ	grimm
young	ADJ	grimm
free	ADJ	grimm
pretty	ADJ	grimm
beautiful	ADJ	grimm
pretty	ADJ	grimm
pretty	ADJ	grimm
fond	ADJ	grimm
alone	ADJ	grimm
beautiful	ADJ	grimm
last	ADJ	grimm
bright	ADJ	grimm
long	ADJ	grimm
tall	ADJ	grimm
sad	ADJ	grimm
long	ADJ	grimm
sudden	ADJ	grimm
old	ADJ	grimm
pale	ADJ	grimm
mournful	ADJ	grimm
fiery	ADJ	grimm
gloomy	ADJ	grimm
old	ADJ	grimm
pale	ADJ	grimm
meagre	ADJ	grimm
last	ADJ	grimm
hoarse	ADJ	grimm
fast	ADJ	grimm
sudden	ADJ	grimm
free	ADJ	grimm
dear	ADJ	grimm
own	ADJ	grimm
strange	ADJ	grimm
many	ADJ	grimm
vain	ADJ	grimm
beautiful	ADJ	grimm
purple	ADJ	grimm
costly	ADJ	grimm
pretty	ADJ	grimm
long	ADJ	grimm
ninth	ADJ	grimm
beautiful	ADJ	grimm
purple	ADJ	grimm
large	ADJ	grimm
big	ADJ	grimm
costly	ADJ	grimm
close	ADJ	grimm
glad	ADJ	grimm
open	ADJ	grimm
many	ADJ	grimm
angry	ADJ	grimm
many	ADJ	grimm
many	ADJ	grimm
good	ADJ	grimm
beautiful	ADJ	grimm
beautiful	ADJ	grimm
other	ADJ	grimm
old	ADJ	grimm
many	ADJ	grimm
good	ADJ	grimm
many	ADJ	grimm
other	ADJ	grimm
old	ADJ	grimm
honest	ADJ	grimm
faithful	ADJ	grimm
great	ADJ	grimm
many	ADJ	grimm
old	ADJ	grimm
more	ADJ	grimm
unfit	ADJ	grimm
tired	ADJ	grimm
great	ADJ	grimm
little	ADJ	grimm
panting	ADJ	grimm
tired	ADJ	grimm
old	ADJ	grimm
weak	ADJ	grimm
useful	ADJ	grimm
great	ADJ	grimm
same	ADJ	grimm
willing	ADJ	grimm
rueful	ADJ	grimm
good	ADJ	grimm
good	ADJ	grimm
old	ADJ	grimm
lucky	ADJ	grimm
great	ADJ	grimm
good	ADJ	grimm
pleased	ADJ	grimm
main	ADJ	grimm
famous	ADJ	grimm
fine	ADJ	grimm
well	ADJ	grimm
great	ADJ	grimm
first	ADJ	grimm
great	ADJ	grimm
high	ADJ	grimm
safe	ADJ	grimm
very	ADJ	grimm
bright	ADJ	grimm
great	ADJ	grimm
good	ADJ	grimm
bad	ADJ	grimm
large	ADJ	grimm
bright	ADJ	grimm
last	ADJ	grimm
tall	ADJ	grimm
good	ADJ	grimm
merry	ADJ	grimm
noble	ADJ	grimm
last	ADJ	grimm
upright	ADJ	grimm
ready	ADJ	grimm
broken	ADJ	grimm
hideous	ADJ	grimm
little	ADJ	grimm
frightened	ADJ	grimm
frightful	ADJ	grimm
clear	ADJ	grimm
much	ADJ	grimm
own	ADJ	grimm
warm	ADJ	grimm
tired	ADJ	grimm
asleep	ADJ	grimm
quiet	ADJ	grimm
great	ADJ	grimm
bold	ADJ	grimm
glittering	ADJ	grimm
fiery	ADJ	grimm
live	ADJ	grimm
back	ADJ	grimm
horrid	ADJ	grimm
long	ADJ	grimm
bony	ADJ	grimm
black	ADJ	grimm
pleased	ADJ	grimm
very	ADJ	grimm
old	ADJ	grimm
faithful	ADJ	grimm
old	ADJ	grimm
old	ADJ	grimm
poor	ADJ	grimm
faithful	ADJ	grimm
great	ADJ	grimm
many	ADJ	grimm
sure	ADJ	grimm
last	ADJ	grimm
frightened	ADJ	grimm
last	ADJ	grimm
good	ADJ	grimm
easy	ADJ	grimm
good	ADJ	grimm
little	ADJ	grimm
thankful	ADJ	grimm
little	ADJ	grimm
poor	ADJ	grimm
little	ADJ	grimm
good	ADJ	grimm
old	ADJ	grimm
good	ADJ	grimm
other	ADJ	grimm
old	ADJ	grimm
fine	ADJ	grimm
fat	ADJ	grimm
true	ADJ	grimm
dainty	ADJ	grimm
busy	ADJ	grimm
good	ADJ	grimm
fat	ADJ	grimm
stout	ADJ	grimm
angry	ADJ	grimm
old	ADJ	grimm
next	ADJ	grimm
second	ADJ	grimm
old	ADJ	grimm
legged	ADJ	grimm
poor	ADJ	grimm
wild	ADJ	grimm
long	ADJ	grimm
little	ADJ	grimm
cowardly	ADJ	grimm
ashamed	ADJ	grimm
good	ADJ	grimm
old	ADJ	grimm
poor	ADJ	grimm
old	ADJ	grimm
dear	ADJ	grimm
sheer	ADJ	grimm
whole	ADJ	grimm
old	ADJ	grimm
well	ADJ	grimm
old	ADJ	grimm
good	ADJ	grimm
new	ADJ	grimm
foreign	ADJ	grimm
little	ADJ	grimm
good	ADJ	grimm
other	ADJ	grimm
impetuous	ADJ	grimm
afraid	ADJ	grimm
last	ADJ	grimm
unable	ADJ	grimm
good	ADJ	grimm
compassionate	ADJ	grimm
black	ADJ	grimm
black	ADJ	grimm
great	ADJ	grimm
fine	ADJ	grimm
good	ADJ	grimm
many	ADJ	grimm
poor	ADJ	grimm
little	ADJ	grimm
dead	ADJ	grimm
little	ADJ	grimm
little	ADJ	grimm
little	ADJ	grimm
beautiful	ADJ	grimm
great	ADJ	grimm
merry	ADJ	grimm
kind	ADJ	grimm
good	ADJ	grimm
little	ADJ	grimm
golden	ADJ	grimm
twelve	ADJ	grimm
high	ADJ	grimm
red	ADJ	grimm
red	ADJ	grimm
high	ADJ	grimm
long	ADJ	grimm
white	ADJ	grimm
good	ADJ	grimm
little	ADJ	grimm
good	ADJ	grimm
great	ADJ	grimm
thirteenth	ADJ	grimm
black	ADJ	grimm
black	ADJ	grimm
angry	ADJ	grimm
fifteenth	ADJ	grimm
dead	ADJ	grimm
friendly	ADJ	grimm
evil	ADJ	grimm
asleep	ADJ	grimm
dear	ADJ	grimm
first	ADJ	grimm
beautiful	ADJ	grimm
good	ADJ	grimm
wise	ADJ	grimm
very	ADJ	grimm
old	ADJ	grimm
alone	ADJ	grimm
old	ADJ	grimm
narrow	ADJ	grimm
little	ADJ	grimm
golden	ADJ	grimm
open	ADJ	grimm
old	ADJ	grimm
good	ADJ	grimm
old	ADJ	grimm
buzz	ADJ	grimm
little	ADJ	grimm
round	ADJ	grimm
lifeless	ADJ	grimm
dead	ADJ	grimm
deep	ADJ	grimm
asleep	ADJ	grimm
very	ADJ	grimm
asleep	ADJ	grimm
asleep	ADJ	grimm
large	ADJ	grimm
high	ADJ	grimm
thick	ADJ	grimm
last	ADJ	grimm
old	ADJ	grimm
hidden	ADJ	grimm
beautiful	ADJ	grimm
several	ADJ	grimm
many	ADJ	grimm
many	ADJ	grimm
old	ADJ	grimm
beautiful	ADJ	grimm
wonderful	ADJ	grimm
asleep	ADJ	grimm
many	ADJ	grimm
many	ADJ	grimm
young	ADJ	grimm
old	ADJ	grimm
bent	ADJ	grimm
very	ADJ	grimm
beautiful	ADJ	grimm
thick	ADJ	grimm
last	ADJ	grimm
asleep	ADJ	grimm
asleep	ADJ	grimm
ready	ADJ	grimm
old	ADJ	grimm
little	ADJ	grimm
asleep	ADJ	grimm
beautiful	ADJ	grimm
other	ADJ	grimm
great	ADJ	grimm
great	ADJ	grimm
sad	ADJ	grimm
sorrowful	ADJ	grimm
sad	ADJ	grimm
hungry	ADJ	grimm
next	ADJ	grimm
little	ADJ	grimm
more	ADJ	grimm
next	ADJ	grimm
good	ADJ	grimm
more	ADJ	grimm
more	ADJ	grimm
little	ADJ	grimm
high	ADJ	grimm
warm	ADJ	grimm
tired	ADJ	grimm
asleep	ADJ	grimm
bad	ADJ	grimm
bad	ADJ	grimm
poor	ADJ	grimm
cruel	ADJ	grimm
worth	ADJ	grimm
bad	ADJ	grimm
dripping	ADJ	grimm
empty	ADJ	grimm
unlucky	ADJ	grimm
poor	ADJ	grimm
such	ADJ	grimm
dead	ADJ	grimm
unlucky	ADJ	grimm
other	ADJ	grimm
second	ADJ	grimm
miserable	ADJ	grimm
second	ADJ	grimm
second	ADJ	grimm
unlucky	ADJ	grimm
third	ADJ	grimm
mad	ADJ	grimm
third	ADJ	grimm
other	ADJ	grimm
miserable	ADJ	grimm
own	ADJ	grimm
last	ADJ	grimm
ill	ADJ	grimm
dead	ADJ	grimm
wicked	ADJ	grimm
sure	ADJ	grimm
such	ADJ	grimm
unlucky	ADJ	grimm
sorry	ADJ	grimm
mad	ADJ	grimm
blind	ADJ	grimm
such	ADJ	grimm
furious	ADJ	grimm
last	ADJ	grimm
cruel	ADJ	grimm
dead	ADJ	grimm
beautiful	ADJ	grimm
known	ADJ	grimm
secret	ADJ	grimm
good	ADJ	grimm
open	ADJ	grimm
asleep	ADJ	grimm
full	ADJ	grimm
same	ADJ	grimm
second	ADJ	grimm
third	ADJ	grimm
several	ADJ	grimm
same	ADJ	grimm
same	ADJ	grimm
old	ADJ	grimm
old	ADJ	grimm
